DateSim,Amphoe_ID,Amphoe,Province_ID,Province,DateForecast,Rainfall,Watersupply,Reservoir,WaterDemand,WaterBalance,DroughtIndex,RunoffIndex
01/01/2021,5107,บ้านธิ,51,ลำพูน,Forecastmon13,356.99713,459.85690000000005,100.0,13388.6391,12928.7824,0,3
01/01/2021,5108,เวียงหนองล่อง,51,ลำพูน,Forecastmon13,383.56772,9079.0092,100.0,20781.2732,11702.264000000001,3,3
01/01/2021,5804,แม่สะเรียง,58,แม่ฮ่องสอน,Forecastmon13,426.872,25.2788,100.0,694.3424,669.0636,0,3
01/01/2021,5805,แม่ลาน้อย,58,แม่ฮ่องสอน,Forecastmon13,426.872,0.5726,100.0,799.7562,799.1836000000001,3,3
01/01/2021,6201,เมืองกำแพงเพชร,62,กำแพงเพชร,Forecastmon13,378.08664,11098.5423,100.0,3853.9758,-7244.5665,3,3
01/01/2021,6206,พรานกระต่าย,62,กำแพงเพชร,Forecastmon13,341.4976,6.1068,100.0,1857.7905,1851.6838,0,3
01/01/2021,6211,โกสัมพีนคร,62,กำแพงเพชร,Forecastmon13,371.14148,5709.022400000001,100.0,20060.639300000003,14351.6168,3,3
01/01/2021,6301,เมืองตาก,63,ตาก,Forecastmon13,356.67126,30657.839,100.0,58294.6044,27636.7654,3,3
01/01/2021,6302,บ้านตาก,63,ตาก,Forecastmon13,391.56564,19542.8819,100.0,56050.2328,36507.351,3,3
01/01/2021,6303,สามเงา,63,ตาก,Forecastmon13,338.9157,56030.7075,100.0,9651.4215,-46379.286100000005,3,3
01/01/2021,6304,แม่ระมาด,63,ตาก,Forecastmon13,426.87198,3.2133000000000003,100.0,800.8680999999999,797.6548,0,3
01/01/2021,6309,วังเจ้า,63,ตาก,Forecastmon13,384.79462,346.8903,100.0,10194.242800000002,9847.3526,0,3
01/01/2022,5001,เมืองเชียงใหม่,50,เชียงใหม่,Forecastmon25,72.97614,38.293800000000005,100.0,3600.6889,3562.3952,0,3
